State,date,fips,cases,deaths,month,day
Alabama,2020-04-24,1,6026,209,4,24
Alabama,2020-07-18,1,65234,1286,7,18
Alabama,2020-05-07,1,9046,369,5,7
Alabama,2020-05-09,1,9668,390,5,9
Alabama,2020-08-18,1,110361,1936,8,18
Alabama,2020-05-31,1,17952,630,5,31
Alabama,2020-06-06,1,20043,689,6,6
Alabama,2020-06-28,1,35441,919,6,28
Alabama,2020-03-30,1,947,11,3,30
Alabama,2020-05-03,1,7888,290,5,3
Alabama,2020-06-15,1,26272,774,6,15
Alabama,2020-06-01,1,18534,646,6,1
Alabama,2020-03-20,1,106,0,3,20
Alabama,2020-03-27,1,639,4,3,27
Alabama,2020-04-03,1,1535,38,4,3
Alabama,2020-07-02,1,40111,985,7,2
Alabama,2020-07-09,1,49174,1068,7,9
Alabama,2020-06-20,1,29549,838,6,20
Alabama,2020-07-26,1,79294,1473,7,26
Alabama,2020-04-30,1,7068,272,4,30
Alabama,2020-07-29,1,83782,1538,7,29
Alabama,2020-06-16,1,26912,785,6,16
Alabama,2020-03-14,1,12,0,3,14
Alabama,2020-04-08,1,2498,67,4,8
Alabama,2020-07-03,1,41865,1006,7,3
Alabama,2020-06-07,1,20500,692,6,7
Alabama,2020-05-15,1,11373,483,5,15
Alabama,2020-06-21,1,30021,839,6,21
Alabama,2020-07-16,1,61088,1230,7,16
Alabama,2020-06-27,1,35083,919,6,27
Alabama,2020-07-12,1,53587,1121,7,12
Alabama,2020-03-15,1,23,0,3,15
Alabama,2020-07-04,1,42862,1007,7,4
Alabama,2020-05-24,1,14478,551,5,24
Alabama,2020-04-17,1,4572,151,4,17
Alabama,2020-05-10,1,9889,393,5,10
Alabama,2020-03-19,1,78,0,3,19
Alabama,2020-08-20,1,112449,1974,8,20
Alabama,2020-05-23,1,14149,549,5,23
Alabama,2020-04-20,1,5078,164,4,20
Alabama,2020-05-17,1,11771,488,5,17
Alabama,2020-04-13,1,3805,104,4,13
Alabama,2020-07-14,1,57255,1164,7,14
Alabama,2020-03-23,1,196,0,3,23
Alabama,2020-07-20,1,68891,1291,7,20
Alabama,2020-05-16,1,11674,485,5,16
Alabama,2020-05-18,1,12086,489,5,18
Alabama,2020-05-22,1,13670,541,5,22
Alabama,2020-08-17,1,109004,1925,8,17
Alabama,2020-08-05,1,94654,1695,8,5
Alabama,2020-08-06,1,96592,1714,8,6
Alabama,2020-08-04,1,93702,1666,8,4
Alabama,2020-08-12,1,104786,1882,8,12
Alabama,2020-05-01,1,7294,289,5,1
Alabama,2020-07-28,1,82366,1491,7,28
Alabama,2020-03-21,1,131,0,3,21
Alabama,2020-04-19,1,4903,160,4,19
Alabama,2020-08-10,1,103020,1797,8,10
Alabama,2020-04-04,1,1632,44,4,4
Alabama,2020-06-18,1,28206,810,6,18
Alabama,2020-07-01,1,38962,972,7,1
Alabama,2020-07-24,1,76005,1438,7,24
Alabama,2020-07-21,1,70358,1303,7,21
Alabama,2020-08-13,1,105557,1890,8,13
Alabama,2020-05-20,1,13052,522,5,20
Alabama,2020-07-13,1,55545,1124,7,13
Alabama,2020-03-13,1,6,0,3,13
Alabama,2020-08-14,1,106309,1893,8,14
Alabama,2020-06-30,1,38045,950,6,30
Alabama,2020-03-28,1,720,4,3,28
Alabama,2020-05-19,1,12376,504,5,19
Alabama,2020-06-19,1,29002,822,6,19
Alabama,2020-05-08,1,9385,383,5,8
Alabama,2020-04-11,1,3262,93,4,11
Alabama,2020-04-25,1,6213,213,4,25
Alabama,2020-08-11,1,103851,1847,8,11
Alabama,2020-08-08,1,100173,1755,8,8
Alabama,2020-03-22,1,157,0,3,22
Alabama,2020-05-02,1,7611,288,5,2
Alabama,2020-06-05,1,19387,676,6,5
Alabama,2020-08-15,1,107580,1896,8,15
Alabama,2020-07-10,1,50508,1104,7,10
Alabama,2020-08-23,1,115060,2013,8,23
Alabama,2020-06-17,1,27312,790,6,17
Alabama,2020-05-21,1,13414,529,5,21
Alabama,2020-06-02,1,18771,653,6,2
Alabama,2020-06-04,1,19072,653,6,4
Alabama,2020-04-14,1,3953,114,4,14
Alabama,2020-08-16,1,108433,1898,8,16
Alabama,2020-04-18,1,4723,147,4,18
Alabama,2020-03-29,1,830,5,3,29
Alabama,2020-06-29,1,37175,929,6,29
Alabama,2020-07-17,1,63091,1265,7,17
Alabama,2020-04-07,1,2197,64,4,7
Alabama,2020-07-22,1,71813,1364,7,22
Alabama,2020-07-31,1,87723,1580,7,31
Alabama,2020-04-10,1,3008,80,4,10
Alabama,2020-07-06,1,44878,1007,7,6
Alabama,2020-04-22,1,5610,201,4,22
Alabama,2020-06-10,1,21989,744,6,10
Alabama,2020-04-28,1,6750,242,4,28
Alabama,2020-04-12,1,3583,93,4,12
Alabama,2020-04-01,1,1108,28,4,1
Alabama,2020-08-03,1,92661,1633,8,3
Alabama,2020-05-04,1,8112,298,5,4
Alabama,2020-07-25,1,78130,1456,7,25
Alabama,2020-04-27,1,6539,228,4,27
Alabama,2020-07-27,1,81115,1491,7,27
Alabama,2020-07-08,1,46962,1058,7,8
Alabama,2020-05-26,1,15650,580,5,26
Alabama,2020-06-23,1,31097,864,6,23
Alabama,2020-03-24,1,242,0,3,24
Alabama,2020-03-16,1,29,0,3,16
Alabama,2020-05-29,1,17031,610,5,29
Alabama,2020-08-22,1,114532,2011,8,22
Alabama,2020-04-05,1,1840,45,4,5
Alabama,2020-05-06,1,8691,343,5,6
Alabama,2020-04-15,1,4241,123,4,15
Alabama,2020-03-18,1,51,0,3,18
Alabama,2020-04-02,1,1270,32,4,2
Alabama,2020-06-12,1,23710,769,6,12
Alabama,2020-05-12,1,10464,435,5,12
Alabama,2020-05-28,1,16530,591,5,28
Alabama,2020-05-05,1,8437,315,5,5
Alabama,2020-08-07,1,98301,1735,8,7
Alabama,2020-08-09,1,101334,1768,8,9
Alabama,2020-07-15,1,59067,1211,7,15
Alabama,2020-05-11,1,10164,403,5,11
Alabama,2020-04-09,1,2838,78,4,9
Alabama,2020-05-13,1,10700,450,5,13
Alabama,2020-05-27,1,16032,583,5,27
Alabama,2020-06-11,1,22845,755,6,11
Alabama,2020-07-19,1,67011,1287,7,19
Alabama,2020-06-24,1,32064,891,6,24
Alabama,2020-08-01,1,89349,1603,8,1
Alabama,2020-03-17,1,39,0,3,17
Alabama,2020-07-07,1,45785,1033,7,7
